frame_id,raw_detections,filtered_detections,assigned_records,confirmed_assigned_records,active_tracks,total_tracks_created,pipeline_time_ms,approx_fps
000250,19,14,14,0,14,14,122.8246999962721,8.141684856794695
000251,33,25,25,0,39,39,99.00289998040535,10.100714223501736
000252,21,21,21,0,58,58,106.40999997849576,9.39761300819555
000253,32,24,24,1,72,72,147.93169999029487,6.759876348785321
000254,44,30,30,4,78,87,116.533199994592,8.581245516697452
000255,64,45,45,3,98,118,164.93639998952858,6.062943049948268
000256,53,40,40,1,108,141,132.41189997643232,7.552191307412609
000257,43,26,26,6,109,152,88.14939999138005,11.34437670701999
000258,37,30,30,11,106,163,122.97029999899678,8.132044892206967
000259,58,50,50,14,108,185,140.40720000048168,7.122141884437332
000260,28,21,21,3,104,198,118.9345000020694,8.407989271259394
000261,31,21,21,5,105,210,150.01670000492595,6.6659245268504375
000262,24,19,19,4,89,217,143.29939999151975,6.97839628120689
000263,17,12,12,4,65,224,150.67009997437708,6.637016900964822
000264,34,29,29,5,68,244,99.63789998437278,10.036341594482021
000265,22,17,17,3,62,255,94.30440000141971,10.603959094007761
000266,26,18,18,4,63,264,92.56619997904636,10.803079312171871
000267,50,43,43,3,89,295,122.68869997933507,8.150709887450384
000268,18,13,13,2,73,302,94.6094999962952,10.56976307917449
000269,32,27,27,6,80,316,141.65140001568943,7.059584302655951
