frame_id,frame_index,image_path,raw_detections,filtered_detections
000250,0,tracklet_replay_250_269\frames\tracklets_bev_000250.png,19,15
000251,1,tracklet_replay_250_269\frames\tracklets_bev_000251.png,33,27
000252,2,tracklet_replay_250_269\frames\tracklets_bev_000252.png,21,21
000253,3,tracklet_replay_250_269\frames\tracklets_bev_000253.png,32,31
000254,4,tracklet_replay_250_269\frames\tracklets_bev_000254.png,44,42
000255,5,tracklet_replay_250_269\frames\tracklets_bev_000255.png,64,61
000256,6,tracklet_replay_250_269\frames\tracklets_bev_000256.png,53,48
000257,7,tracklet_replay_250_269\frames\tracklets_bev_000257.png,43,35
000258,8,tracklet_replay_250_269\frames\tracklets_bev_000258.png,37,36
000259,9,tracklet_replay_250_269\frames\tracklets_bev_000259.png,58,57
000260,10,tracklet_replay_250_269\frames\tracklets_bev_000260.png,28,20
000261,11,tracklet_replay_250_269\frames\tracklets_bev_000261.png,31,26
000262,12,tracklet_replay_250_269\frames\tracklets_bev_000262.png,24,23
000263,13,tracklet_replay_250_269\frames\tracklets_bev_000263.png,17,15
000264,14,tracklet_replay_250_269\frames\tracklets_bev_000264.png,34,33
000265,15,tracklet_replay_250_269\frames\tracklets_bev_000265.png,22,19
000266,16,tracklet_replay_250_269\frames\tracklets_bev_000266.png,26,24
000267,17,tracklet_replay_250_269\frames\tracklets_bev_000267.png,50,39
000268,18,tracklet_replay_250_269\frames\tracklets_bev_000268.png,18,16
000269,19,tracklet_replay_250_269\frames\tracklets_bev_000269.png,32,27
