frame_id,frame_index,raw_detections,filtered_detections,matched_records,active_tracks,tracks_created,pipeline_time_ms,approx_fps
000250,0,19,15,0,15,15,126.58640000154264,7.89974278427867
000251,1,33,27,2,40,40,103.99679999682121,9.6156804827703
000252,2,21,21,6,55,55,104.82099998625927,9.540073078210355
000253,3,32,31,12,68,74,134.30969999171793,7.445478621884078
000254,4,44,42,24,73,92,119.21849998179823,8.387959923608129
000255,5,64,61,23,104,130,164.10749999340624,6.093566717183429
000256,6,53,48,22,116,156,128.1287000165321,7.804652664633082
000257,7,43,35,20,109,171,85.7397000072524,11.663208524352358
000258,8,37,36,21,99,186,126.83989998186007,7.883954498095744
000259,9,58,57,29,102,214,141.4117999956943,7.071545656235533
000260,10,28,20,10,92,224,116.08479998540133,8.614392238482202
000261,11,31,26,11,85,239,136.05780000216328,7.349817503914515
000262,12,24,23,9,63,253,100.09449999779463,9.990558922039002
000263,13,17,15,3,60,265,120.70109997875988,8.2849286392251
000264,14,34,33,12,59,286,103.36740000639111,9.67422997906662
000265,15,22,19,4,60,301,86.96820001932792,11.498455754836352
000266,16,26,24,14,64,311,88.30050000688061,11.324964183918294
000267,17,50,39,15,67,335,109.72559999208897,9.113643489505623
000268,18,18,16,7,67,344,90.50949997617863,11.048563965806816
000269,19,32,27,17,67,354,130.19029999850318,7.6810637966998865
